sn_number,redshift,mu,mu_err,s,s_err,t0,t0_err,chi2,ndf,chi2_reduced,sigma_int_used,mu_significance,s_significance
0,0.866968,43.653144,0.156119,1.039807,0.085715,-0.257363,0.738091,10.818568,17,0.636386,0.120000,279.613720,0.464410
1,0.441983,41.935396,0.081619,0.934768,0.029111,3.147051,0.210647,11.654938,17,0.685585,0.120000,513.795571,2.240814
2,0.948736,43.731204,0.165774,1.105657,0.100731,-1.881153,1.054674,11.010582,17,0.647681,0.120000,263.799347,1.048899
3,1.184059,44.248437,0.183910,1.028822,0.108202,-0.470698,0.949810,15.509978,17,0.912352,0.120000,240.598897,0.266375
4,0.212932,39.944330,0.087200,1.003857,0.032632,0.628114,0.289685,23.623069,17,1.389592,0.120000,458.078296,0.118211
5,0.365588,41.398812,0.088431,0.944170,0.039033,-1.562224,0.534681,23.214247,17,1.365544,0.120000,468.146528,1.430352
6,0.633071,42.556373,0.118201,1.026785,0.054492,1.519000,0.368850,15.709059,17,0.924062,0.120000,360.034015,0.491539
7,0.561526,42.359820,0.098620,0.902469,0.044946,-1.142935,0.519987,13.616347,17,0.800962,0.120000,429.527668,2.169954
8,0.615957,42.491194,0.110273,0.987190,0.049241,1.795211,0.350002,12.413089,17,0.730182,0.120000,385.328971,0.260151
9,0.632651,42.730678,0.100115,0.896583,0.047481,-1.685665,0.569189,17.915760,17,1.053868,0.120000,426.813832,2.178055
10,0.899608,43.713016,0.147761,1.028631,0.079782,0.171102,0.671555,10.552063,17,0.620710,0.120000,295.835447,0.358864
11,1.034498,43.753892,0.139921,0.932406,0.070831,0.693283,0.518525,15.532547,17,0.913679,0.120000,312.703185,0.954303
12,0.657985,42.962480,0.128895,1.080211,0.071637,-1.443823,0.808179,19.975893,17,1.175053,0.120000,333.312830,1.119696
13,0.782102,43.178941,0.132686,1.040318,0.073471,-2.041856,0.821884,14.581432,17,0.857731,0.120000,325.423031,0.548755
14,0.789743,43.020588,0.114926,0.902227,0.054247,0.307632,0.476222,9.474357,17,0.557315,0.120000,374.332582,1.802386
15,0.818879,43.562505,0.033662,1.163245,0.009089,-0.157393,0.098729,16.215438,17,0.953849,0.120000,1294.130385,17.960084
16,0.976245,43.946217,0.146949,0.997109,0.076761,1.303707,0.557472,9.911221,17,0.583013,0.120000,299.058404,0.037656
17,0.891955,43.722894,0.183031,1.185269,0.108443,-1.383538,1.001475,21.624493,17,1.272029,0.120000,238.882937,1.708444
18,0.971668,43.734777,0.135630,0.938557,0.070560,-0.432162,0.616598,14.336340,17,0.843314,0.120000,322.456409,0.870797
19,0.957987,43.793754,0.136341,0.940162,0.075154,-1.338399,0.768576,10.977521,17,0.645737,0.120000,321.206934,0.796209
20,0.524114,42.175011,0.108029,1.018707,0.055149,-2.840390,0.728445,13.626371,17,0.801551,0.120000,390.404129,0.339206
21,0.633960,42.850758,0.030294,1.036635,0.004320,-2.320987,0.092953,12.872716,17,0.757219,0.120000,1414.481343,8.481320
22,0.629160,42.777850,0.116478,0.970860,0.055656,0.583954,0.497553,19.561917,17,1.150701,0.120000,367.259944,0.523573
23,0.738750,43.210697,0.150443,1.119664,0.086578,-1.142295,0.902449,13.323900,17,0.783759,0.120000,287.222735,1.382149
24,0.490895,42.092413,0.098525,0.911701,0.044550,-1.090886,0.525559,16.857980,17,0.991646,0.120000,427.226226,1.982008
25,1.009359,43.852701,0.119540,0.962781,0.057336,2.158713,0.371020,3.474785,17,0.204399,0.120000,366.844927,0.649141
26,0.733800,43.137405,0.047474,1.017565,0.016371,1.509537,0.131272,16.147874,17,0.949875,0.120000,908.651398,1.072896
27,0.590429,42.584151,0.039730,1.092439,0.013448,1.686558,0.052576,10.144034,17,0.596708,0.120000,1071.847257,6.873580
28,0.856655,43.496966,0.040764,0.988138,0.014060,1.680724,0.016902,17.202003,17,1.011883,0.120000,1067.052363,0.843701
29,0.960484,43.730501,0.117105,0.969698,0.055881,2.284812,0.367783,9.242764,17,0.543692,0.120000,373.430795,0.542259
30,0.893398,43.665152,0.125926,1.059850,0.061873,2.802846,0.378902,15.470687,17,0.910040,0.120000,346.752794,0.967312
31,0.342956,41.015005,0.092482,0.947515,0.036704,0.723415,0.343918,11.200779,17,0.658869,0.120000,443.490312,1.429969
32,0.866390,43.768140,0.052607,1.209195,0.020618,-4.078208,0.105463,8.260717,17,0.485925,0.120000,831.975845,10.146232
33,0.775306,43.180430,0.116866,0.932005,0.058531,-0.084659,0.569937,13.313042,17,0.783120,0.120000,369.488178,1.161684
34,0.789840,43.246330,0.134810,0.988398,0.067678,0.996948,0.521593,21.696693,17,1.276276,0.120000,320.795369,0.171427
35,0.351606,41.259735,0.086913,0.928487,0.031394,1.657523,0.242383,16.752885,17,0.985464,0.120000,474.722208,2.277904
36,0.845797,43.509165,0.138044,0.996330,0.070250,1.090820,0.526980,14.288985,17,0.840529,0.120000,315.182774,0.052240
37,0.687418,42.801357,0.105933,0.885036,0.048342,0.403175,0.461726,27.690978,17,1.628881,0.120000,404.040655,2.378131
38,0.918087,43.784124,0.192929,1.176753,0.111346,0.015559,0.860189,18.690420,17,1.099436,0.120000,226.944242,1.587422
39,0.681612,42.740904,0.100341,0.928829,0.052597,-3.513068,0.781849,17.404230,17,1.023778,0.120000,425.956343,1.353140
40,0.752047,43.118871,0.123080,1.012129,0.067495,-1.188874,0.755351,9.035428,17,0.531496,0.120000,350.331061,0.179695
41,0.497151,42.141542,0.113885,0.992602,0.053412,0.062677,0.512102,11.055764,17,0.650339,0.120000,370.034499,0.138499
42,0.946763,43.809307,0.042184,1.019830,0.013877,-1.315290,0.073980,16.712914,17,0.983113,0.120000,1038.530089,1.428970
43,0.772081,43.339001,0.148464,1.105857,0.078689,1.178710,0.599585,8.482882,17,0.498993,0.120000,291.915675,1.345252
44,1.065849,43.933713,0.168017,1.036855,0.097201,-0.758109,0.865984,8.861909,17,0.521289,0.120000,261.483920,0.379168
45,0.413679,41.629627,0.101969,1.016623,0.043641,1.303922,0.363204,9.916891,17,0.583347,0.120000,408.259053,0.380895
46,0.692418,42.759666,0.052322,0.938795,0.018362,2.049111,0.123789,14.436559,17,0.849209,0.120000,817.240603,3.333170
47,0.462722,42.127689,0.038327,1.011560,0.010784,-1.848453,0.043500,13.752590,17,0.808976,0.120000,1099.165447,1.071933
48,0.935641,43.780652,0.166376,1.104561,0.101815,-1.741222,1.090393,13.306882,17,0.782758,0.120000,263.143110,1.026971
49,0.881156,43.764384,0.188054,1.208517,0.125758,-3.523817,1.558510,19.919206,17,1.171718,0.120000,232.722543,1.658080
50,0.923851,43.694389,0.160726,1.096951,0.093165,-1.582741,0.906901,15.891736,17,0.934808,0.120000,271.855537,1.040638
51,0.699185,42.873792,0.122045,1.034838,0.057766,2.086303,0.372137,13.310590,17,0.782976,0.120000,351.296076,0.603081
52,0.787221,43.134588,0.038178,0.891302,0.010533,2.131390,0.080204,12.445455,17,0.732086,0.120000,1129.826970,10.319448
53,0.693426,43.030754,0.065393,0.966742,0.024827,0.043650,0.105287,17.612118,17,1.036007,0.120000,658.037378,1.339592
54,0.531274,42.305078,0.094042,0.994085,0.038556,2.331982,0.265406,12.778743,17,0.751691,0.120000,449.852055,0.153418
55,0.961427,43.727889,0.130709,0.923972,0.071442,-0.948310,0.722934,8.318817,17,0.489342,0.120000,334.543887,1.064187
56,0.769523,43.026837,0.108494,0.943843,0.049279,1.246838,0.364235,18.143681,17,1.067275,0.120000,396.584185,1.139559
57,0.571597,42.688903,0.154424,1.205689,0.082644,1.763078,0.633890,15.987145,17,0.940420,0.120000,276.440306,2.488868
58,0.494935,42.191138,0.092869,1.006542,0.037420,2.123680,0.261338,12.449021,17,0.732295,0.120000,454.308485,0.174819
59,0.962893,43.718668,0.126755,0.884525,0.063883,-0.605687,0.580295,12.759107,17,0.750536,0.120000,344.906990,1.807622
60,0.946732,44.007070,0.183465,1.171777,0.114371,-1.941278,1.196625,12.479427,17,0.734084,0.120000,239.866712,1.501934
61,0.714457,43.116467,0.126978,1.057471,0.069756,-2.177269,0.804532,22.322604,17,1.313094,0.120000,339.557558,0.823880
62,0.742458,43.051052,0.113413,0.989615,0.052302,1.449606,0.368900,19.160737,17,1.127102,0.120000,379.595857,0.198555
63,0.397845,41.553537,0.102217,1.019435,0.044387,0.634524,0.391110,16.435987,17,0.966823,0.120000,406.521579,0.437851
64,0.859300,43.453313,0.141727,1.008876,0.073851,0.539259,0.602272,18.925413,17,1.113260,0.120000,306.598483,0.120189
65,0.506818,41.983842,0.091191,0.886002,0.040031,-1.522537,0.510721,12.556938,17,0.738643,0.120000,460.393846,2.847740
66,0.907305,43.664331,0.161860,1.084055,0.093681,-0.598709,0.870836,14.086961,17,0.828645,0.120000,269.765623,0.897248
67,0.879606,43.862541,0.190356,1.206695,0.110689,-0.246291,0.908811,18.863488,17,1.109617,0.120000,230.423872,1.867359
68,0.608507,42.624490,0.104672,0.952873,0.045567,1.551867,0.344803,16.242775,17,0.955457,0.120000,407.220209,1.034233
69,0.596739,42.582312,0.015475,1.085444,0.074091,0.775179,3.588128,24.327493,17,1.431029,0.120000,2751.766718,1.153229
70,1.183597,44.458556,0.197283,1.089213,0.108563,1.887757,0.617777,13.563636,17,0.797861,0.120000,225.353730,0.821759
71,0.880243,43.540349,0.120803,0.991464,0.057304,1.940981,0.364324,21.755168,17,1.279716,0.120000,360.423296,0.148960
72,0.473412,41.954636,0.080370,0.899758,0.027742,2.762959,0.200170,17.722122,17,1.042478,0.120000,522.019366,3.613391
73,0.736292,43.387281,0.146780,1.109332,0.083010,-1.335067,0.847846,11.883596,17,0.699035,0.120000,295.593065,1.317100
74,0.578578,42.519594,0.107532,0.928175,0.050376,-1.434685,0.551157,16.306892,17,0.959229,0.120000,395.411651,1.425783
75,0.961037,44.019484,0.040946,1.084336,0.011480,-0.405186,0.523545,7.293188,17,0.429011,0.120000,1075.062268,7.346256
76,1.142368,44.108918,0.156234,0.905192,0.079224,1.533718,0.504761,13.441292,17,0.790664,0.120000,282.325244,1.196712
77,0.648195,42.784021,0.127491,1.088390,0.061612,1.838930,0.398331,14.514575,17,0.853799,0.120000,335.583819,1.434623
78,1.262888,44.594651,0.221934,1.150273,0.131682,0.122206,0.980847,16.072596,17,0.945447,0.120000,200.936156,1.141185
79,0.925585,43.863688,0.045537,1.163050,0.018677,1.185033,0.106358,14.523173,17,0.854304,0.120000,963.258100,8.729758
80,0.975853,43.660002,0.122046,0.898901,0.069301,-2.542817,0.868115,7.671917,17,0.451289,0.120000,357.735190,1.458834
81,1.079120,44.098300,0.193216,1.114177,0.120588,-1.239476,1.185044,14.000933,17,0.823584,0.120000,228.232729,0.946834
82,0.814122,43.448294,0.104304,0.997016,0.046614,-1.857993,0.238736,8.780826,17,0.516519,0.120000,416.554945,0.064009
