sn_number,redshift,mu,mu_err,s,s_err,t0,t0_err,chi2,ndf,chi2_reduced,sigma_int_used,mu_significance,s_significance
0,0.866968,43.654178,0.134573,1.040478,0.074071,-0.255796,0.628558,14.632459,17,0.860733,0.100000,324.389922,0.546482
1,0.441983,41.935786,0.068461,0.935031,0.024475,3.148497,0.177069,16.445185,17,0.967364,0.100000,612.553293,2.654522
2,0.948736,43.734715,0.106406,1.108118,0.053919,-1.890392,0.339713,14.945967,17,0.879175,0.100000,411.018147,2.005186
3,1.184059,44.241374,0.161388,1.025411,0.095016,-0.452284,0.823160,20.475684,17,1.204452,0.100000,274.130912,0.267433
4,0.212932,39.945016,0.072909,1.004152,0.027297,0.629623,0.242066,33.812677,17,1.988981,0.100000,547.878609,0.152110
5,0.365588,41.398050,0.074202,0.943892,0.032790,-1.560264,0.447312,33.077455,17,1.945733,0.100000,557.907353,1.711145
6,0.633071,42.556212,0.099340,1.026875,0.045856,1.519648,0.309565,22.137355,17,1.302197,0.100000,428.388671,0.586064
7,0.561526,42.356193,0.083157,0.900530,0.037976,-1.128914,0.436062,19.060281,17,1.121193,0.100000,509.349731,2.619317
8,0.615957,42.492052,0.092814,0.987661,0.041522,1.797115,0.293938,17.585880,17,1.034464,0.100000,457.817416,0.297171
9,0.632651,42.732788,0.085455,0.897579,0.040795,-1.688185,0.481374,24.836781,17,1.460987,0.100000,500.060468,2.510624
10,0.899608,43.708649,0.126403,1.026459,0.068359,0.182013,0.570890,14.380590,17,0.845917,0.100000,345.788682,0.387063
11,1.034498,43.773226,0.179041,0.941321,0.122656,0.736845,3.704886,20.853323,17,1.226666,0.100000,244.487312,0.478407
12,0.657985,42.967595,0.109985,1.083596,0.061316,-1.474065,0.685143,27.972444,17,1.645438,0.100000,390.667110,1.363353
13,0.782102,43.181915,0.054918,1.042049,0.021265,-2.037898,0.070127,19.868888,17,1.168758,0.100000,786.295297,1.977383
14,0.789743,43.021638,0.098119,0.902910,0.046503,0.308005,0.402514,12.876715,17,0.757454,0.100000,438.464483,2.087820
15,0.818879,43.561836,0.028672,1.163115,0.007940,-0.155783,0.048741,22.404830,17,1.317931,0.100000,1519.320122,20.543478
16,0.976245,43.944069,0.127259,0.996530,0.066679,1.305813,0.479601,13.313512,17,0.783148,0.100000,345.313377,0.052046
17,0.891955,43.723981,0.022310,1.186443,0.114630,-1.393999,3.363956,30.178230,17,1.775190,0.100000,1959.812847,1.626480
18,0.971668,43.739863,0.118459,0.941695,0.061952,-0.438204,0.530020,18.963275,17,1.115487,0.100000,369.241557,0.941135
19,0.957987,43.795927,0.119891,0.941484,0.066400,-1.336176,0.663294,14.536625,17,0.855096,0.100000,365.297830,0.881265
20,0.524114,42.175237,0.049984,1.018882,0.017026,-2.840947,0.058919,19.314079,17,1.136122,0.100000,843.781329,1.108959
21,0.633960,42.851969,0.097258,1.037664,0.052111,-2.331032,0.641727,18.169317,17,1.068783,0.100000,440.599943,0.722770
22,0.629160,42.780469,0.098920,0.972395,0.047428,0.580202,0.419483,27.236880,17,1.602169,0.100000,432.476726,0.582040
23,0.738750,43.213937,0.128087,1.121731,0.073841,-1.156756,0.763840,18.609430,17,1.094672,0.100000,337.379793,1.648556
24,0.490895,42.090749,0.083008,0.911045,0.037624,-1.089174,0.440829,23.843158,17,1.402539,0.100000,507.066879,2.364323
25,1.009359,43.854247,0.103572,0.963633,0.049960,2.162699,0.320658,4.559176,17,0.268187,0.100000,423.415938,0.727923
26,0.733800,43.139251,0.116238,1.018620,0.058275,1.517022,0.435399,22.656148,17,1.332715,0.100000,371.129204,0.319511
27,0.590429,42.584922,0.033702,1.092855,0.011365,1.685070,0.295868,14.391053,17,0.846533,0.100000,1263.568283,8.169995
28,0.856655,43.498748,0.033716,0.989474,0.012027,1.690286,0.105246,23.565465,17,1.386204,0.100000,1290.139084,0.875246
29,0.960484,43.730481,0.100807,0.969764,0.048334,2.288218,0.316402,12.267927,17,0.721643,0.100000,433.802264,0.625572
30,0.893398,43.669066,0.108173,1.062137,0.053375,2.808921,0.323538,21.263787,17,1.250811,0.100000,403.695996,1.164153
31,0.342956,41.014696,0.077360,0.947421,0.030718,0.723146,0.287517,16.008353,17,0.941668,0.100000,530.181485,1.711679
32,0.866390,43.769691,0.155448,1.210089,0.104262,-4.081411,1.364829,11.096739,17,0.652749,0.100000,281.571509,2.015020
33,0.775306,43.202755,0.102184,0.941647,0.051619,-0.050189,0.486660,18.004585,17,1.059093,0.100000,422.792912,1.130459
34,0.789840,43.241857,0.114223,0.986396,0.057416,1.005161,0.439877,30.140272,17,1.772957,0.100000,378.572492,0.236946
35,0.351606,41.259838,0.072719,0.928486,0.026290,1.659660,0.202868,23.874868,17,1.404404,0.100000,567.384446,2.720244
36,0.845797,43.506981,0.117679,0.995522,0.060019,1.096050,0.446902,19.577045,17,1.151591,0.100000,369.707683,0.074612
37,0.687418,42.801961,0.090248,0.885730,0.041364,0.408129,0.389194,38.311521,17,2.253619,0.100000,474.272901,2.762571
38,0.918087,43.784816,0.164996,1.177506,0.095316,0.017947,0.729280,25.800364,17,1.517668,0.100000,265.368994,1.862295
39,0.681612,42.744177,0.086060,0.930479,0.045498,-3.514671,0.664327,23.314897,17,1.371465,0.100000,496.677044,1.528012
40,0.752047,43.117993,0.104836,1.011632,0.057621,-1.182245,0.638254,12.438905,17,0.731700,0.100000,411.288519,0.201866
41,0.497151,42.141224,0.095709,0.992457,0.044938,0.063681,0.429093,15.600416,17,0.917672,0.100000,440.307630,0.167854
42,0.946763,43.804726,0.040032,1.017672,0.012112,-1.302770,0.436798,22.574638,17,1.327920,0.100000,1094.236653,1.458999
43,0.772081,43.341458,0.125991,1.107348,0.066896,1.176019,0.506431,11.780982,17,0.692999,0.100000,344.005248,1.604709
44,1.065849,43.939111,0.117268,1.040176,0.061777,-0.764325,0.404733,11.948468,17,0.702851,0.100000,374.688444,0.650344
45,0.413679,41.628736,0.085327,1.016233,0.036532,1.306943,0.303683,14.173298,17,0.833723,0.100000,487.872224,0.444355
46,0.692418,42.760485,0.042928,0.939296,0.014993,2.052698,0.100140,20.229688,17,1.189982,0.100000,996.087264,4.048972
47,0.462722,42.124912,0.090207,1.010279,0.044460,-1.843771,0.537219,19.513933,17,1.147878,0.100000,466.982047,0.231191
48,0.935641,43.775381,0.142750,1.101723,0.087464,-1.716432,0.928023,17.907672,17,1.053392,0.100000,306.657050,1.163032
49,0.881156,43.782138,0.166257,1.221161,0.111453,-3.642523,1.362037,26.656381,17,1.568022,0.100000,263.340191,1.984337
50,0.923851,43.694240,0.098940,1.097402,0.046414,-1.584329,0.089651,21.546312,17,1.267430,0.100000,441.625542,2.098557
51,0.699185,42.874299,0.102889,1.035363,0.048787,2.088895,0.313262,18.680727,17,1.098866,0.100000,416.704032,0.724847
52,0.787221,43.135757,0.041992,0.892056,0.014077,2.137908,0.125576,17.290906,17,1.017112,0.100000,1027.231274,7.667885
53,0.693426,43.032115,0.058316,0.967652,0.022526,0.045734,0.080560,24.787901,17,1.458112,0.100000,737.914258,1.436025
54,0.531274,42.304822,0.078924,0.994058,0.032412,2.331080,0.222977,18.152581,17,1.067799,0.100000,536.022711,0.183322
55,0.961427,43.731013,0.116232,0.926179,0.063876,-0.959192,0.624426,11.152520,17,0.656031,0.100000,376.237737,1.155689
56,0.769523,43.029315,0.092180,0.945315,0.042054,1.247270,0.308145,25.060100,17,1.474124,0.100000,466.796499,1.300329
57,0.571597,42.689515,0.048645,1.206074,0.020800,1.763976,0.070356,22.787984,17,1.340470,0.100000,877.578061,9.907420
58,0.494935,42.191609,0.077915,1.006805,0.031447,2.122814,0.219334,17.673993,17,1.039647,0.100000,541.508248,0.216382
59,0.962893,43.719245,0.111046,0.885477,0.056317,-0.603662,0.499700,16.786087,17,0.987417,0.100000,393.703253,2.033555
60,0.946732,43.998317,0.157247,1.166778,0.098040,-1.901455,1.016381,16.820009,17,0.989412,0.100000,279.803341,1.701125
61,0.714457,43.117364,0.108407,1.058221,0.059693,-2.175549,0.679353,30.886101,17,1.816829,0.100000,397.734900,0.975331
62,0.742458,43.050924,0.095959,0.989748,0.044367,1.451605,0.311363,26.741040,17,1.573002,0.100000,448.640489,0.231073
63,0.397845,41.553531,0.085576,1.019438,0.037186,0.634363,0.327199,23.440041,17,1.378826,0.100000,485.572099,0.522727
64,0.859300,43.454543,0.121282,1.009738,0.063368,0.532154,0.512020,26.065191,17,1.533247,0.100000,358.293054,0.153679
65,0.506818,41.983570,0.076912,0.885948,0.033870,-1.521187,0.428351,17.704693,17,1.041453,0.100000,545.867815,3.367300
66,0.907305,43.663623,0.138779,1.084080,0.080460,-0.601884,0.741495,19.377577,17,1.139857,0.100000,314.627424,1.044989
67,0.879606,43.859218,0.162303,1.205287,0.094448,-0.246256,0.771933,25.992975,17,1.528999,0.100000,270.230843,2.173542
68,0.608507,42.622142,0.088078,0.951776,0.038399,1.552181,0.289882,22.850127,17,1.344125,0.100000,483.914627,1.255864
69,0.596739,42.579397,0.027530,1.084022,0.007082,0.790155,0.050056,34.316274,17,2.018604,0.100000,1546.655855,11.864831
70,1.183597,44.459669,0.174659,1.090659,0.096420,1.868919,0.543723,17.684052,17,1.040238,0.100000,254.550764,0.940251
71,0.880243,43.545275,0.103630,0.994305,0.049411,1.945547,0.310925,29.774934,17,1.751467,0.100000,420.199106,0.115263
72,0.473412,41.954301,0.067420,0.899652,0.023325,2.762356,0.168299,25.223626,17,1.483743,0.100000,622.278550,4.302187
73,0.736292,43.388365,0.125451,1.110266,0.071095,-1.337064,0.717620,16.175852,17,0.951521,0.100000,345.857731,1.550968
74,0.578578,42.518952,0.091002,0.927785,0.042773,-1.427821,0.463480,22.353221,17,1.314895,0.100000,467.232782,1.688342
75,0.961037,44.036887,0.158250,1.095992,0.092655,-0.519424,0.796853,9.475231,17,0.557367,0.100000,278.273296,1.036010
76,1.142368,44.093223,0.130281,0.898161,0.065869,1.529754,0.438396,17.735682,17,1.043275,0.100000,338.445971,1.546085
77,0.648195,42.784323,0.107294,1.088664,0.051913,1.837533,0.334724,20.565277,17,1.209722,0.100000,398.756002,1.707927
78,1.262888,44.600347,0.198561,1.154512,0.118011,0.103259,0.865285,20.851186,17,1.226540,0.100000,224.618322,1.309305
79,0.925585,43.864998,0.038510,1.164118,0.015774,1.178843,0.080486,20.022035,17,1.177767,0.100000,1139.053195,10.404185
80,0.975853,43.660587,0.108130,0.899352,0.061790,-2.543940,0.751974,10.381401,17,0.610671,0.100000,403.777405,1.628865
81,1.079120,44.099370,0.062048,1.115281,0.027138,-1.236918,0.077426,18.724932,17,1.101467,0.100000,710.729379,4.247886
82,0.814122,43.443592,0.043950,0.994440,0.016355,-1.837525,0.142937,11.868373,17,0.698140,0.100000,988.488867,0.339965
83,0.768223,43.377420,0.124251,1.152442,0.074598,-3.009604,0.884469,14.276417,17,0.839789,0.100000,349.110567,2.043500
84,0.662954,42.805746,0.057136,0.998238,0.020698,-1.116940,0.100443,36.640467,17,2.155322,0.100000,749.190005,0.085153
85,0.712037,43.068707,0.051486,1.105625,0.018925,-3.302942,0.059283,40.281452,17,2.369497,0.100000,836.515543,5.581122
86,0.882402,43.551245,0.110848,0.941876,0.063772,-2.905770,0.793470,21.123331,17,1.242549,0.100000,392.890084,0.911445
87,0.866407,43.505330,0.106898,1.017087,0.052158,2.381239,0.321960,29.416587,17,1.730387,0.100000,406.980646,0.327602
88,0.507684,42.196405,0.101171,1.087388,0.047137,2.013449,0.319816,17.850407,17,1.050024,0.100000,417.080729,1.853931
89,0.917879,43.644049,0.131431,1.012819,0.067899,1.858968,0.437382,8.146049,17,0.479179,0.100000,332.066891,0.188797
90,0.807336,43.241352,0.094142,0.907855,0.041855,1.381806,0.285660,22.896634,17,1.346861,0.100000,459.318526,2.201507
91,0.834102,43.506280,0.096950,0.957260,0.044963,2.347310,0.298200,11.095043,17,0.652650,0.100000,448.750854,0.950557
92,0.477953,42.076261,0.092700,0.997527,0.044051,-0.244735,0.450054,33.678218,17,1.981072,0.100000,453.897476,0.056145
93,0.727746,43.103341,0.125953,1.112304,0.067926,-0.222310,0.573314,25.009847,17,1.471167,0.100000,342.217053,1.653332
94,0.642631,42.837025,0.031624,1.188585,0.010098,-1.932392,0.088647,30.420924,17,1.789466,0.100000,1354.557715,18.675683
95,0.730314,42.952284,0.100683,0.973007,0.051065,0.034025,0.491015,15.360819,17,0.903578,0.100000,426.607680,0.528596
96,0.725490,42.995296,0.116520,1.035642,0.060041,0.363622,0.505577,40.904967,17,2.406175,0.100000,368.995768,0.593635
97,1.108480,44.164450,0.149270,0.998509,0.086498,-0.635810,0.764830,17.967754,17,1.056927,0.100000,295.868788,0.017240
98,0.506745,42.164693,0.085837,1.072516,0.037138,3.202713,0.236156,19.539133,17,1.149361,0.100000,491.215350,1.952595
99,0.664524,42.702832,0.094067,0.980503,0.042362,1.483972,0.297374,12.361216,17,0.727130,0.100000,453.960989,0.460260
100,0.625888,42.621954,0.093340,1.023203,0.042937,2.317295,0.304097,12.921730,17,0.760102,0.100000,456.631995,0.540397
101,0.661217,42.919470,0.095579,1.014461,0.044007,1.931931,0.306006,31.134939,17,1.831467,0.100000,449.048275,0.328601
102,0.406141,41.692168,0.082680,0.988464,0.040982,-2.310297,0.588632,17.777122,17,1.045713,0.100000,504.258238,0.281497
103,0.615710,42.803109,0.121643,1.197558,0.079527,-3.440175,1.142461,24.776024,17,1.457413,0.100000,351.873459,2.484159
104,0.596596,42.589117,0.079895,0.982564,0.032985,3.437455,0.213514,11.625796,17,0.683870,0.100000,533.062337,0.528597
105,0.804550,43.401253,0.109231,1.027623,0.063487,-3.181870,0.815997,9.561399,17,0.562435,0.100000,397.333811,0.435098
106,0.695782,42.788218,0.075968,0.891698,0.029510,1.959181,0.199879,24.842638,17,1.461332,0.100000,563.237092,3.670010
107,1.199714,44.316602,0.050189,0.949242,0.019213,-2.226523,0.097921,13.658333,17,0.803431,0.100000,882.995578,2.641834
108,0.976241,43.669171,0.054129,0.947249,0.080492,2.440908,2.666570,15.776846,17,0.928050,0.100000,806.766747,0.655357
109,0.426938,41.752042,0.068269,0.929092,0.023957,2.807368,0.172437,24.178228,17,1.422249,0.100000,611.577246,2.959769
110,1.120789,44.443407,0.030465,1.307832,0.008287,-2.592976,0.075649,23.149349,17,1.361726,0.100000,1458.811911,37.147980
111,0.389573,41.323440,0.044090,0.975726,0.013798,-0.218528,0.136910,36.909517,17,2.171148,0.100000,937.255539,1.759226
112,0.468109,41.987559,0.094815,1.052992,0.047409,-0.507901,0.523013,39.888509,17,2.346383,0.100000,442.836903,1.117772
113,0.813478,43.400508,0.125008,1.083960,0.068082,-0.046530,0.591675,31.939906,17,1.878818,0.100000,347.180693,1.233218
114,1.060790,44.173481,0.046433,1.102379,0.019171,-1.676482,0.080788,18.043715,17,1.061395,0.100000,951.327989,5.340251
115,0.629634,42.557724,0.076528,0.924194,0.030418,2.441778,0.207462,23.626846,17,1.389814,0.100000,556.107652,2.492149
116,0.763085,43.333724,0.122798,1.090427,0.064710,1.480983,0.486730,15.549664,17,0.914686,0.100000,352.887421,1.397415
117,0.781127,43.317336,0.028311,0.958891,0.005766,-1.519754,0.063259,10.444134,17,0.614361,0.100000,1530.042697,7.128999
118,0.725779,43.004437,0.090940,0.918930,0.049241,-2.845702,0.676355,12.171538,17,0.715973,0.100000,472.888847,1.646391
119,0.349010,41.160688,0.072266,0.958950,0.034336,-3.963178,0.608666,23.274858,17,1.369109,0.100000,569.569188,1.195530
120,0.666468,42.810333,0.118120,1.102513,0.061210,0.743107,0.492268,43.145429,17,2.537966,0.100000,362.430857,1.674784
121,0.693890,42.861462,0.086333,0.850049,0.039302,-0.254214,0.402165,25.074751,17,1.474985,0.100000,496.465010,3.815315
122,1.002212,44.091502,0.169227,1.225170,0.100176,0.943665,0.765244,18.500181,17,1.088246,0.100000,260.546706,2.247748
123,0.347666,40.970560,0.069643,0.911634,0.026723,-0.712390,0.303252,40.353016,17,2.373707,0.100000,588.295350,3.306804
124,0.631366,42.879398,0.129575,1.112833,0.067037,1.670078,0.479173,23.856719,17,1.403336,0.100000,330.922419,1.683138
125,0.723065,42.954118,0.110840,1.023838,0.057573,-0.235509,0.527129,25.833012,17,1.519589,0.100000,387.530921,0.414039
126,0.532806,42.410825,0.095696,1.055088,0.052737,-3.028117,0.722464,26.979776,17,1.587046,0.100000,443.183000,1.044582
127,0.871978,43.571305,0.122267,1.003021,0.063891,0.376185,0.518274,11.817314,17,0.695136,0.100000,356.362523,0.047291
128,0.885020,43.616682,0.123789,1.024755,0.073670,-2.299021,0.866164,20.017932,17,1.177525,0.100000,352.348216,0.336021
129,1.134733,44.125700,0.151420,1.002713,0.082247,0.592981,0.569391,10.398316,17,0.611666,0.100000,291.413030,0.032983
130,0.797305,43.377793,0.115473,1.127599,0.058482,2.725166,0.344046,16.942009,17,0.996589,0.100000,375.652538,2.181833
131,0.226884,40.284899,0.078755,1.007620,0.035273,-1.901219,0.478451,20.828322,17,1.225195,0.100000,511.524198,0.216027
132,0.346263,41.231763,0.077791,1.017596,0.030485,1.894844,0.221597,25.314481,17,1.489087,0.100000,530.032990,0.577189
133,0.943219,43.593093,0.110845,0.869083,0.053523,0.339477,0.407655,7.833259,17,0.460780,0.100000,393.279348,2.445994
134,0.719045,42.932806,0.034287,0.885387,0.003904,-1.661570,0.356891,25.569392,17,1.504082,0.100000,1252.174801,29.355418
135,0.666064,42.768891,0.087966,0.926861,0.038204,1.522778,0.283661,15.318107,17,0.901065,0.100000,486.196593,1.914434
136,0.649730,42.860139,0.103079,1.022029,0.052912,-0.359223,0.527807,26.139361,17,1.537609,0.100000,415.800682,0.416333
137,0.567232,42.503032,0.098036,1.053898,0.053156,-1.553518,0.652898,24.343982,17,1.431999,0.100000,433.545046,1.013952
138,0.683740,42.835487,0.086118,0.922501,0.037790,0.847309,0.302337,29.864013,17,1.756707,0.100000,497.405935,2.050771
139,0.695680,42.786386,0.102615,0.983255,0.122961,1.849361,0.618501,41.723364,17,2.454316,0.100000,416.961757,0.136184
140,0.742876,43.365354,0.143183,1.194340,0.079141,0.938056,0.601776,15.343672,17,0.902569,0.100000,302.866339,2.455638
141,0.636512,42.600155,0.089616,0.936605,0.046116,-1.612633,0.579313,15.461207,17,0.909483,0.100000,475.364214,1.374665
142,0.935224,43.869142,0.134991,1.031777,0.075007,-0.456380,0.651511,18.337509,17,1.078677,0.100000,324.978904,0.423655
143,0.459357,41.805259,0.094993,1.061075,0.047584,-0.307352,0.519041,41.254422,17,2.426731,0.100000,440.087816,1.283523
144,1.038930,43.950349,0.079138,1.025179,0.036015,0.546460,0.092575,26.909689,17,1.582923,0.100000,555.363877,0.699133
145,0.873693,43.455234,0.098326,0.962677,0.045963,1.940160,0.304590,13.853516,17,0.814913,0.100000,441.948883,0.812027
146,0.720311,42.965673,0.093992,0.914660,0.048324,-2.489234,0.596901,12.571772,17,0.739516,0.100000,457.119846,1.766008
